Year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1969,294290,3411770,1893768,1702945,19745905,2153153,3014615,760291,537811,6567950,4513265,751103,2809783,697487,11052819,5162578,2250328,3173740,3604367,5659435,3864521,980609,8827833,3778923,4650329,2187159,684222,5013668,612454,1473784,722955,7104428,995273,469977,18167105,10610728,2523771,2056379,11750369,941122,2547708,663081,3874872,11010547,1034450,4589746,438948,3392905,4392904,1728411,327809
1970,305328,3454557,1932816,1799531,20045806,2228340,3038035,755466,551509,6865460,4611479,776177,2830777,718147,11129316,5206262,2248359,3236121,3657391,5699034,3943493,998135,8899844,3815381,4686588,2226138,697665,5107138,619616,1489064,742566,7193210,1024290,494996,18266034,10672784,2570926,2103151,11817397,952555,2604662,667299,3942583,11260221,1067600,4671101,446649,3419974,4426419,1749347,333928
1971,316366,3497349,1971940,1896117,20345724,2303608,3061455,750641,565207,7162971,4709721,801251,2851875,738856,11205953,5250028,2246461,3298565,3710415,5738634,4022470,1015679,8971957,3851972,4722984,2265118,711153,5200624,626814,1504425,762190,7281992,1053333,520027,18364991,10734897,2618115,2149942,11884462,963988,2661616,671564,4010338,11510036,1100798,4752480,454378,3447070,4460012,1770346,340058
1972,326431,3540003,2017987,2008852,20584918,2404715,3069631,743778,573824,7520382,4806621,827610,2860464,763315,11258208,5296219,2255791,3336275,3761799,5762150,4081123,1034816,9024729,3866890,4753328,2306980,719272,5296063,631073,1518356,781710,7336570,1077889,546805,18351888,10747042,2657777,2195316,11904626,976384,2718294,677476,4088549,11759213,1134632,4827910,463212,3446895,4498455,1796949,346893
1973,333134,3580759,2058402,2125305,20867894,2495942,3069158,733677,579100,7927232,4906450,850517,2864033,782142,11260386,5329163,2264585,3371741,3788684,5783836,4109069,1046432,9071832,3885200,4774667,2349565,727504,5382396,632500,1528599,801832,7335280,1104347,568946,18194899,10767335,2694412,2238985,11885290,978018,2775339,678998,4138628,12019599,1168826,4906505,468547,3477308,4518503,1805347,353385
1974,344658,3627778,2100229,2224356,21172684,2541424,3075790,720758,583149,8317073,4994465,866559,2867942,808043,11273801,5349955,2268075,3417229,3820684,5777027,4133329,1060069,9109456,3898512,4785480,2378460,737316,5461082,634267,1537905,817071,7335230,1129663,596747,18072890,10765749,2732590,2281008,11864002,953519,2843112,679892,4201789,12268221,1198852,4978036,473148,3547959,4538220,1814115,364575
1975,370866,3680495,2158257,2286342,21536811,2586243,3084745,710304,588737,8541584,5058099,884406,2881482,832061,11306443,5351155,2278947,3468957,3886835,5762168,4157172,1073287,9107933,3925808,4795560,2399711,749209,5535035,638605,1541653,830038,7341399,1162743,619877,18032337,10770620,2771958,2324646,11897884,946352,2900130,681489,4260943,12568317,1233990,5056199,479897,3618928,4569660,1840660,380537
1976,392998,3737038,2168656,2347970,21934604,2632370,3085999,696305,592753,8695198,5125734,902061,2903776,857076,11360331,5371615,2298892,3530680,3951506,5748885,4172112,1089964,9117539,3956673,4823715,2430110,758597,5593340,645429,1549128,847025,7344079,1195208,646870,17974781,10752843,2823332,2372217,11887569,950328,2941304,686917,4329200,12903392,1272410,5132519,485172,3690628,4584747,1877536,395493
1977,397220,3782571,2207195,2427296,22350332,2696179,3088745,681766,594815,8888806,5211306,915753,2914404,883539,11406331,5405151,2318147,3575221,4015423,5744117,4194629,1105357,9157357,3979937,4845283,2459607,771428,5668363,649294,1554759,871873,7342023,1225310,678154,17851561,10771362,2865865,2439477,11881959,955133,2988908,689104,4401991,13192014,1316443,5205505,492180,3772421,4613339,1905696,411606
1978,402051,3833971,2240956,2517851,22839038,2766843,3094869,670045,598183,9131410,5285688,928804,2919047,911042,11434520,5446484,2333141,3611577,4073143,5742953,4211619,1115461,9202029,4004738,4871354,2487840,784108,5739221,650802,1561134,893981,7356425,1251898,719391,17720503,10795544,2912963,2509658,11864840,957247,3041015,689368,4461690,13497902,1364279,5283888,498306,3886250,4630998,1920428,430953
